ID_VENTE;CD_PRODUIT;DT_VENTE;ID_CLIENT;QTE_VENTE;PRIX_ACHAT;PRIX_VENTE;;;;
CA-2014-AA10315140-41702;OFF-FA-2890;18/07/2024;AA-103151402;7,00;2.304;2.88;;;;
CA-2015-AG10330140-42361;FUR-TA-5061;11/04/2021;AG-103301404;6,00;116.832;146.04;;;;
IN-2012-ML180407-40957;TEC-PH-3785;29/05/2023;ML-180407;5,00;58.6752;73.344;;;;
CA-2014-AG10330140-41855;TEC-AC-6077;17/05/2021;AG-103301402;8,00;11.152;13.94;;;;
MX-2015-DM1352582-42334;TEC-PH-5248;02/05/2023;DM-1352582;3,00;41.6304;52.038;;;;
ES-2013-AB10060139-41627;FUR-BO-5949;04/07/2024;AB-10060139;2,00;221.00904;276.2613;;;;
IN-2015-MS1736578-42189;FUR-CH-4557;17/07/2022;MS-1736578;10,00;32.1216;40.152;;;;
IT-2014-RM19375139-41870;OFF-AP-3873;15/10/2023;RM-19375139;8,00;258.3792;322.974;;;;
IN-2014-DO13435144-41730;TEC-PH-5268;16/11/2024;DO-13435144;6,00;154.2456;192.807;;;;
IZ-2015-JL550561-42028;OFF-ST-5693;17/09/2021;JL-550561;6,00;34.0992;42.624;;;;
IN-2014-SP205457-41670;OFF-ST-6261;24/04/2021;SP-205457;3,00;97.992;122.49;;;;
IN-2014-KD1627027-41935;FUR-TA-3772;14/01/2024;KD-1627027;8,00;168.156;210.195;;;;
IT-2012-CM1181545-41016;TEC-MA-5572;12/10/2022;CM-1181545;3,00;63.2736;79.092;;;;
MX-2014-RO1978016-41807;TEC-AC-5866;28/04/2024;RO-1978016;1,00;17.7024;22.128;;;;
IN-2014-CR1262558-41939;FUR-BO-5787;22/12/2024;CR-1262558;10,00;166.8864;208.608;;;;
UP-2012-SF10065137-41157;OFF-ST-5710;02/07/2024;SF-10065137;6,00;24.864;31.08;;;;
CA-2014-AG10330140-41855;OFF-EN-6325;07/04/2023;AG-103301402;5,00;21.744;27.18;;;;
CA-2015-AG10330140-42361;OFF-PA-6436;09/04/2023;AG-103301404;3,00;12.1408;15.176;;;;
ES-2015-LF17185139-42320;TEC-PH-3148;02/01/2022;LF-17185139;3,00;152.6904;190.863;;;;
CA-2015-AG10330140-42349;TEC-PH-4897;31/03/2020;AG-103301404;6,00;23.96;29.95;;;;
